ID,Site,Use,Horizon,MidDepth,eoc,moisture,avgaggL021,avgagg021_1,avgagg1_2,avgagg2_476,avgaggM476,sdaggL021,sdagg021_1,sdagg1_2,sdagg2_476,sdaggM476,avgaggOCL021,avgaggOC021_1,avgaggOC1_2,avgaggOC2_476,avgaggOCM476,sdaggOCL021,sdaggOC021_1,sdaggOC1_2,sdaggOC2_476,sdaggOCM476,micro,intmacro,macro,sdmicro,sdintmacro,sdmacro,microOC,intmacroOC,macroOC,sdmicroOC,sdintmacroOC,sdmacroOC,avgMAD,sdMAD
HAY_APT_S0H6,HAY,A,S0H6,83.5,0.1,0.194301543,0.197315886,0.39605395466666665,0.258926276,0.14623342766666667,0.0010468266666666668,0.05236868633864236,0.0702600335901541,0.06422264122805524,0.06240480210789884,0.0018131569733846361,197.315886,396.05395466666664,258.926276,146.23342766666667,1.0468266666666668,52.36868633864236,70.26003359015411,64.22264122805522,62.40480210789884,1.813156973384636,0.197315886,0.8012136583333334,0.0010468266666666668,0.05236868633864236,0.0512087608814921,0.0018131569733846361,197.315886,801.2136583333333,1.0468266666666668,52.36868633864236,51.20876088149202,1.813156973384636,0.45720752258449127,0.14781412636999336
HAY_APT_S0H7,HAY,A,S0H7,111,0.1,0.191775405,0.18504872566666666,0.461687852,0.27831557966666665,0.07263388066666666,0.0020137176666666667,0.030491827246480595,0.010782269398041082,0.007356708325167866,0.03219807527076625,0.0018749954717556876,185.04872566666666,461.687852,278.3155796666666,72.63388066666667,2.0137176666666665,30.49182724648059,10.782269398041093,7.3567083251678635,32.198075270766246,1.8749954717556876,0.18504872566666666,0.8126373123333334,0.0020137176666666667,0.030491827246480595,0.03049630415472705,0.0018749954717556876,185.04872566666666,812.6373123333333,2.0137176666666665,30.49182724648059,30.496304154726975,1.8749954717556876,0.410745810460586,0.06821567211806204
HAY_APT_S0H8,HAY,A,S0H8,155,0.1,0.17260274,0.476204289,0.3731377476666667,0.123146131,0.026666916333333332,4.6333333333333334e-4,0.006006038395960252,0.022840647061698197,0.008790626673015013,0.01774627581638684,8.025168741735797e-4,476.20428899999996,373.13774766666666,123.146131,26.666916333333333,0.4633333333333333,6.006038395960266,22.840647061698196,8.790626673015018,17.746275816386838,0.8025168741735798,0.476204289,0.522950795,4.6333333333333334e-4,0.006006038395960252,0.006968121795890714,8.025168741735797e-4,476.20428899999996,522.950795,0.4633333333333333,6.006038395960266,6.968121795890792,0.8025168741735798,0.12632617758150633,0.006750014689144821
HAY_APT_S0H9,HAY,A,S0H9,195,0.1,0.161816065,0.589265963,0.32935308166666666,0.074653742,0.003095132,0.002783223,0.031080139871077783,0.04240960850373289,0.015398209666434568,0.002683132112824301,0.003823984716343542,589.2659629999999,329.35308166666664,74.653742,3.0951319999999996,2.7832229999999996,31.080139871077805,42.40960850373288,15.398209666434566,2.683132112824301,3.8239847163435416,0.589265963,0.4071019556666667,0.002783223,0.031080139871077783,0.02967652479782793,0.003823984716343542,589.2659629999999,407.10195566666664,2.7832229999999996,31.080139871077805,29.6765247978279,3.8239847163435416,0.08098613253444811,0.007290782737549703
HAY_NPT_S0H1,HAY,N,S0H1,19.5,1.8,0.216720779,0.12146033666666667,0.33866973966666664,0.2587019406666667,0.18738736833333333,0.09359283566666667,0.004702502787309575,0.030744858929393135,0.014159828251257868,0.014245752008415154,0.02750348813245226,6.747796481481481,18.814985537037032,14.372330037037035,10.41040935185185,5.1996019814814805,0.26125015485053166,1.7080477182996179,0.7866571250698814,0.7914306671341753,1.527971562914014,0.12146033666666667,0.7847590486666666,0.09359283566666667,0.004702502787309575,0.023495169223166454,0.02750348813245226,6.747796481481481,43.59772492592592,5.1996019814814805,0.26125015485053166,1.3052871790648013,1.527971562914014,0.7502032216785892,0.06271014217125613
HAY_NPT_S0H2,HAY,N,S0H2,48.5,0.8,0.113670134,0.17563093000000002,0.24646249866666667,0.23261545166666667,0.22175168466666667,0.123161053,0.12495757275877467,0.12423397161895214,0.04457323412376125,0.03325157742642755,0.05811477892037439,21.95386625,30.80781233333333,29.076931458333334,27.718960583333335,15.395131625,15.619696594846834,15.529246452369017,5.571654265470155,4.156447178303444,7.264347365046798,0.17563093000000002,0.7008296350000001,0.123161053,0.12495757275877467,0.16741142522866947,0.05811477892037439,21.95386625,87.60370437499999,15.395131625,15.619696594846834,20.926428153583682,7.264347365046798,0.7289389063689448,0.222232180036742
HAY_NPT_S0H3,HAY,N,S0H3,75,0.6,0.097293343,0.09602914833333334,0.197080531,0.20971046066666665,0.334327788,0.162643998,0.04842951152325006,0.05648842628855618,0.01321860265470312,0.06477493548621266,0.09580713115375529,16.004858055555555,32.84675516666667,34.951743444444446,55.721298,27.107333,8.07158525387501,9.414737714759362,2.2031004424505207,10.795822581035445,15.967855192292548,0.09602914833333334,0.7411187796666666,0.162643998,0.04842951152325006,0.05941017462810731,0.09580713115375529,16.004858055555555,123.51979661111112,27.107333,8.07158525387501,9.901695771351214,15.967855192292548,1.2554871867600876,0.4848655548926102
HAY_NPT_S0H4,HAY,N,S0H4,102,0.5,0.107828656,0.2841697126666667,0.33738327366666665,0.231131911,0.13409253066666665,0.012799781,0.03423468517012825,0.026077766242694103,0.008178579193084876,0.05285112922408778,0.0034067283679266236,56.833942533333335,67.47665473333333,46.2263822,26.818506133333333,2.5599562,6.84693703402565,5.215553248538824,1.6357158386169766,10.570225844817557,0.6813456735853246,0.2841697126666667,0.7026077153333333,0.012799781,0.03423468517012825,0.0343777918915582,0.0034067283679266236,56.833942533333335,140.52154306666668,2.5599562,6.84693703402565,6.875558378311641,0.6813456735853246,0.3319860559391676,0.06993980215389926
HAY_NPT_S0H5,HAY,N,S0H5,123,0.3,0.125609299,0.21645515133333335,0.367716827,0.207076957,0.17855684666666669,0.029839202999999998,0.07106482457678895,0.039802544087897976,0.041218837345068184,0.053517057698901534,0.039989763042649513,72.15171711111111,122.57227566666667,69.02565233333334,59.51894888888889,9.946401,23.688274858929645,13.267514695965994,13.73961244835606,17.839019232967175,13.329921014216504,0.21645515133333335,0.7533506306666667,0.029839202999999998,0.07106482457678895,0.04909203022322599,0.039989763042649513,72.15171711111111,251.1168768888889,9.946401,23.688274858929645,16.364010074408647,13.329921014216504,0.46805387371126816,0.16514358479296246
HAY_NPT_S0H6,HAY,N,S0H6,154,0.2,0.123082679,0.227903354,0.399546895,0.24739260433333335,0.12319654666666667,0.001611141,0.05873328319050917,0.043873619476430314,0.03891720720802896,0.06161810806191051,0.0015589912382309916,113.95167699999999,199.7734475,123.69630216666667,61.59827333333333,0.8055705000000001,29.36664159525458,21.936809738215157,19.45860360401448,30.809054030955256,0.7794956191154958,0.227903354,0.770136046,0.001611141,0.05873328319050917,0.058314324790936053,0.0015589912382309916,113.95167699999999,385.068023,0.8055705000000001,29.36664159525458,29.15716239546805,0.7794956191154958,0.3942829564222216,0.1423624185639005
HAY_NPT_S0H7,HAY,N,S0H7,183,0.2,0.120567376,0.412763455,0.3977933596666667,0.14552256366666666,0.03987313766666667,0.003444819,0.0472077873127048,0.013233666592336428,0.0315457011247303,0.02820583584349881,0.0032978386425186117,206.38172749999998,198.89667983333334,72.76128183333333,19.936568833333332,1.7224095,23.603893656352408,6.6168332961682115,15.772850562365152,14.102917921749407,1.6489193212593058,0.412763455,0.583189061,0.003444819,0.0472077873127048,0.04867752468802533,0.0032978386425186117,206.38172749999998,291.5945305,1.7224095,23.603893656352408,24.338762344012665,1.6489193212593058,0.1658130492069589,0.04033690485760868
HAY_NPT_S0H8,HAY,N,S0H8,199,0,0.112347052,0.406060687,0.4681901985,0.11394427100000001,0.011742013499999999,0,0.0401621646908062,0.006477845527536509,0.03502876603507707,0.0013080308725762165,0,406.060687,468.19019849999995,113.94427100000001,11.742013499999999,0,40.1621646908062,6.47784552753651,35.028766035077076,1.3080308725762175,0,0.406060687,0.5938764830000001,0,0.0401621646908062,0.04019858069003733,0,406.060687,593.876483,0,40.1621646908062,40.19858069003733,0,0.1518560597181843,0.024467570785245685
KNZ_APT_S0H1,KNZ,A,S0H1,7.5,1.6,0.216174184,0.10098361966666666,0.44311814466666666,0.348811149,0.08663617233333333,0.020359190666666666,0.01631903135886571,0.009496207538184401,0.01694671601915761,0.017776946507633316,0.003213487508901401,6.311476229166666,27.69488404166667,21.8006968125,5.414760770833333,1.2724494166666667,1.0199394599291067,0.5935129711365255,1.059169751197351,1.111059156727082,0.2008429693063376,0.10098361966666666,0.878565466,0.020359190666666666,0.01631903135886571,0.019553545990439777,0.003213487508901401,6.311476229166666,54.910341625,1.2724494166666667,1.0199394599291067,1.2220966244024853,0.2008429693063376,0.6153072825292992,0.052817593007536925
KNZ_APT_S0H2,KNZ,A,S0H2,20.5,1.4,0.223021583,0.08532239833333334,0.3161731073333333,0.397411042,0.19859185000000001,0.0024393913333333335,0.06098081716080242,0.04353675406682588,0.06006165004335507,0.054792025216316396,0.004225149728876521,6.094457023809524,22.583793380952383,28.386503,14.185132142857146,0.17424223809523812,4.35577265434303,3.1097681476304215,4.290117860239648,3.913716086879743,0.3017964092054658,0.08532239833333334,0.9121759993333334,0.0024393913333333335,0.06098081716080242,0.058983255370039935,0.004225149728876521,6.094457023809524,65.15542852380953,0.17424223809523812,4.35577265434303,4.213089669288564,0.3017964092054658,0.8386529483527237,0.2576805857042826
KNZ_APT_S0H3,KNZ,A,S0H3,36.5,1,0.208885425,0.04718774233333333,0.294938918,0.489032429,0.16757421166666667,0.001200308,0.019398669325326936,0.003722247550554898,0.016524430837421288,0.014671957584732253,0.002078994440731384,4.718774233333333,29.4938918,48.9032429,16.757421166666667,0.12003079999999999,1.9398669325326936,0.37222475505549035,1.6524430837421284,1.467195758473225,0.20789944407313837,0.04718774233333333,0.9515455586666667,0.001200308,0.019398669325326936,0.021446941054722224,0.002078994440731384,4.718774233333333,95.15455586666667,0.12003079999999999,1.9398669325326936,2.1446941054722246,0.20789944407313837,0.9501216535082372,0.07727579009359808
KNZ_APT_S0H4,KNZ,A,S0H4,59,0.7,0.221428571,0.08626906366666666,0.36273043633333335,0.397128331,0.15009240633333334,0.0035994076666666665,0.012429878746680773,0.008071505076854786,0.049476340747893956,0.04324139524129635,2.351845202417313e-4,12.324151952380953,51.81863376190477,56.73261871428572,21.441772333333336,0.5142010952380953,1.775696963811539,1.1530721538363984,7.068048678270567,6.177342177328051,0.03359778860596163,0.08626906366666666,0.9099511736666667,0.0035994076666666665,0.012429878746680773,0.0122004417401163,2.351845202417313e-4,12.324151952380953,129.99302480952383,0.5142010952380953,1.775696963811539,1.7429202485880322,0.03359778860596163,0.7365005997863997,0.021247542648757577
