SampleID,Site,Use,Replicate,MidDepth,SOC,Horizon,ppt,temp,pet,ari,ep,pptpet
KNZ-N02-S120-20180511,KNZ,N,2,97.5,0.351704,NA,868.1894931738193,12.773776205007163,1523.9999839200004,0.5830000042915344,-0.7553771335664874,0.5696781511379552
KNZ-N03-S120-20180511,KNZ,N,3,97.5,0.451349,NA,868.1894931738193,12.773776205007163,1523.9999839200004,0.5830000042915344,-0.7553771335664874,0.5696781511379552
KNZ-N04-S120-20180511,KNZ,N,4,97.5,0.322561,NA,868.1894931738193,12.773776205007163,1523.9999839200004,0.5830000042915344,-0.7553771335664874,0.5696781511379552
KNZ-A01-S005-20180511,KNZ,A,1,2.5,1.6398,NA,870.4229680070669,12.77657992438576,1525.9999886000003,0.5814999938011169,-0.7531706362183344,0.570395134016757
KNZ-A02-S005-20180511,KNZ,A,2,2.5,1.18339,NA,870.4229680070669,12.77657992438576,1525.9999886000003,0.5814999938011169,-0.7531706362183344,0.570395134016757
KNZ-A03-S005-20180511,KNZ,A,3,2.5,1.219,NA,870.4229680070669,12.77657992438576,1525.9999886000003,0.5814999938011169,-0.7531706362183344,0.570395134016757
KNZ-A04-S005-20180511,KNZ,A,4,2.5,1.71404,NA,870.4229680070669,12.77657992438576,1525.9999886000003,0.5814999938011169,-0.7531706362183344,0.570395134016757
KNZ-A01-S015-20180511,KNZ,A,1,10,1.57817,NA,870.4229680070669,12.77657992438576,1525.9999886000003,0.5814999938011169,-0.7531706362183344,0.570395134016757
KNZ-A02-S015-20180511,KNZ,A,2,10,1.12753,NA,870.4229680070669,12.77657992438576,1525.9999886000003,0.5814999938011169,-0.7531706362183344,0.570395134016757
KNZ-A03-S015-20180511,KNZ,A,3,10,1.02783,NA,870.4229680070669,12.77657992438576,1525.9999886000003,0.5814999938011169,-0.7531706362183344,0.570395134016757
KNZ-A04-S015-20180511,KNZ,A,4,10,1.49705,NA,870.4229680070669,12.77657992438576,1525.9999886000003,0.5814999938011169,-0.7531706362183344,0.570395134016757
