SampleID,Site,Use,Horizon,MidDepth,eoc,mbc,ppt,tmp,pet,ari,ep,pptpet,FracFine_avg,FracFine_sd,FracCoarse_avg,FracCoarse_sd,FracTotal_avg,FracTotal_sd,eocfine,eoccoarse,eoctotal
HAY_NPT_S0H4,HAY,N,H4,102,0.01492793155641599,29.799321314986663,604.0667156119544,12.262056768685468,1758.0000041999967,0.33309999108314514,-1.910274575249592,0.34361019008463745,0.7977718360071301,0.10471313769957509,0.06653297682709447,0.0541914132726776,0.8643048128342246,0.10300877592997867,0.018712031288457984,0.22436891100199252,0.017271605265582617
HAY_NPT_S0H5,HAY,N,H5,123,0.02403693487684399,20.998508505248893,604.0667156119544,12.262056768685468,1758.0000041999967,0.33309999108314514,-1.910274575249592,0.34361019008463745,0.8048128342245989,0.08541016665627671,0.09358288770053476,0.07682334261817904,0.8983957219251336,0.06464682352342255,0.029866490511427417,0.25685181839827576,0.026755397749820393
HAY_NPT_S0H6,HAY,N,H6,154,0.0152822123326529,15.04222036143554,604.0667156119544,12.262056768685468,1758.0000041999967,0.33309999108314514,-1.910274575249592,0.34361019008463745,0.7683455882352941,0.11365024909972368,0.07145424836601307,0.059233463052443834,0.8397998366013072,0.12667686817556534,0.01988976388574376,0.21387408981439687,0.018197446184915242
HAY_NPT_S0H7,HAY,N,H7,183,0.00522268935248395,38.43446954025787,604.0667156119544,12.262056768685468,1758.0000041999967,0.33309999108314514,-1.910274575249592,0.34361019008463745,0.7411764705882353,0.1175735064194511,0.09558823529411765,0.0730128916900377,0.836764705882353,0.09400700067798454,0.007046485634303741,0.05463736553367824,0.006241526818434246
KNZ_APT_S0H1,KNZ,A,H1,7.5,0.02363437904616,94.81622781141331,857.9908041727897,12.700557987946809,1525.9999886000005,0.5814999938011169,-0.7785738275729597,0.5622482376031582,0.7708333333333334,0.11018235573426227,0.12291666666666666,0.06696194079588431,0.89375,0.06317813919962563,0.03066081605988324,0.19227969393486102,0.02644406047122797
KNZ_APT_S0H2,KNZ,A,H2,20.5,0.024010970782438,65.95546465275554,857.9908041727897,12.700557987946809,1525.9999886000005,0.5814999938011169,-0.7785738275729597,0.5622482376031582,0.8204545454545454,0.07567874686642696,0.06136363636363636,0.06648649897125389,0.8818181818181818,0.046220813886858766,0.029265449153110027,0.39128989423232297,0.027228935938847214
KNZ_APT_S0H3,KNZ,A,H3,36.5,0.0194437461217,58.80031459255555,857.9908041727897,12.700557987946809,1525.9999886000005,0.5814999938011169,-0.7785738275729597,0.5622482376031582,0.6309523809523809,0.10395454592776411,0.04404761904761905,0.040237390808147824,0.675,0.10606601717798214,0.03081650328722264,0.4414255876277837,0.02880554980992592
KNZ_APT_S0H4,KNZ,A,H4,59,0.02686627138404999,39.150202774662205,857.9908041727897,12.700557987946809,1525.9999886000005,0.5814999938011169,-0.7785738275729597,0.5622482376031582,0.4864583333333333,0.1261855015328681,0.016666666666666666,0.026237488391640106,0.503125,0.13317047345414074,0.05522830948327193,1.6119762830429993,0.05339880026643476
KNZ_APT_S0H5,KNZ,A,H5,92,0.010272713392256,66.375251752,857.9908041727897,12.700557987946809,1525.9999886000005,0.5814999938011169,-0.7785738275729597,0.5622482376031582,0.5916666666666667,0.12092966443283219,0.014880952380952382,0.022127350233119656,0.606547619047619,0.12223272532564372,0.017362332493953803,0.6903263399596031,0.01693636751618261
KNZ_APT_S0H6,KNZ,A,H6,126,0.00788653786644287,67.03244212593137,857.9908041727897,12.700557987946809,1525.9999886000005,0.5814999938011169,-0.7785738275729597,0.5622482376031582,0.6515852390852391,0.09104116181657648,0.014397089397089398,0.02650562548361974,0.6659823284823285,0.09473521253125247,0.012103616523779429,0.5477869622756708,0.011841962660503438
KNZ_APT_S0H7,KNZ,A,H7,166.5,0.00536400029470538,77.15165697427247,857.9908041727897,12.700557987946809,1525.9999886000005,0.5814999938011169,-0.7785738275729597,0.5622482376031582,0.5977033492822966,0.12709973850331963,0.017464114832535887,0.02373485832339406,0.6151674641148326,0.11658057945557532,0.008974352078077365,0.30714412646395184,0.008719577363252892
KNZ_NPT_S0H1,KNZ,N,H1,7.5,0.060552797108,308.5705392977777,855.886534378849,12.69282623986066,1523.9999839200004,0.5830000042915344,-0.7806098386931954,0.5616053434445293,0.1519607843137255,0.06813549158389826,0.5980392156862745,0.30032661958503204,0.75,0.3443814976402696,0.39847647129135483,0.1012522181150164,0.08073706281066667
KNZ_NPT_S0H2,KNZ,N,H2,22,0.084846459281616,112.2476929746667,855.886534378849,12.69282623986066,1523.9999839200004,0.5830000042915344,-0.7806098386931954,0.5616053434445293,0.35714285714285715,0.13146111947091035,0.6365546218487395,0.13082686955411987,0.9936974789915967,0.017027477162407073,0.23757008598852478,0.13329014725428784,0.08538459750116112
KNZ_NPT_S0H3,KNZ,N,H3,44,0.04992053042692,134.39131889880886,855.886534378849,12.69282623986066,1523.9999839200004,0.5830000042915344,-0.7806098386931954,0.5616053434445293,0.7,0.149652582596715,0.2656862745098039,0.08617726094429963,0.9656862745098039,0.18425743245769233,0.07131504346702858,0.18789277134855498,0.05169435638117604
KNZ_NPT_S0H4,KNZ,N,H4,72.5,0.04023103560063999,68.68440339403554,855.886534378849,12.69282623986066,1523.9999839200004,0.5830000042915344,-0.7806098386931954,0.5616053434445293,0.8660130718954248,0.09834041214300474,0.1394335511982571,0.0888337894469076,1.0054466230936818,0.034644317122426126,0.046455459976588065,0.2885319584483399,0.04001309932978062
KNZ_NPT_S0H5,KNZ,N,H5,106.5,0.022118431043,69.88479755322221,855.886534378849,12.69282623986066,1523.9999839200004,0.5830000042915344,-0.7806098386931954,0.5616053434445293,0.8374306875024236,0.11749201880081907,0.06989414091279228,0.056681610664067565,0.9073248284152158,0.08295969943220174,0.026412252826519433,0.31645615432339913,0.024377632299154964
KNZ_NPT_S0H6,KNZ,N,H6,153,0.00670324026647803,61.95895447716881,855.886534378849,12.69282623986066,1523.9999839200004,0.5830000042915344,-0.7806098386931954,0.5616053434445293,0.8119513744513744,0.09793866295485304,0.014634086749471364,0.027425030320195973,0.8265854612008459,0.0922867807208423,0.008255716385734708,0.45805661680392695,0.00810955500806862
KNZ_NPT_S0H7,KNZ,N,H7,189.5,0.020458676657968,35.46393545688888,855.886534378849,12.69282623986066,1523.9999839200004,0.5830000042915344,-0.7806098386931954,0.5616053434445293,0.8675595238095238,0.07712153171950038,0.005952380952380952,0.015992697366223718,0.8735119047619048,0.0762116902200081,0.023581870864759,3.4370576785386246,0.023421176685101356
LGN_N_S005,LGN,N,NA,2.5,0.06746715154735403,396.58721746882657,471.44097772085553,11.587624169591573,1867.000009600002,0.25049999356269836,-2.9601988325789312,0.2525125738064994,NA,NA,NA,NA,NA,NA,NA,NA,NA
LGN_N_S015,LGN,N,NA,10,0.03879057578958313,241.50746028007143,471.44097772085553,11.587624169591573,1867.000009600002,0.25049999356269836,-2.9601988325789312,0.2525125738064994,NA,NA,NA,NA,NA,NA,NA,NA,NA
LGN_N_S030,LGN,N,NA,22.5,0.03002336886259336,173.01539049993693,471.44097772085553,11.587624169591573,1867.000009600002,0.25049999356269836,-2.9601988325789312,0.2525125738064994,NA,NA,NA,NA,NA,NA,NA,NA,NA
LGN_N_S075,LGN,N,NA,52.5,0.02466541904028198,130.7328734579022,471.44097772085553,11.587624169591573,1867.000009600002,0.25049999356269836,-2.9601988325789312,0.2525125738064994,NA,NA,NA,NA,NA,NA,NA,NA,NA
LGN_N_S120,LGN,N,NA,97.5,0.01108865307406712,90.20094396199148,471.44097772085553,11.587624169591573,1867.000009600002,0.25049999356269836,-2.9601988325789312,0.2525125738064994,NA,NA,NA,NA,NA,NA,NA,NA,NA
LVN_N_S005,LVN,N,NA,2.5,0.04637291711170322,385.4608561909795,1000.4863977076546,12.484024258956952,1452.0000058799958,0.6913999915122986,-0.4512940997567414,0.6890402160165985,NA,NA,NA,NA,NA,NA,NA,NA,NA
LVN_N_S015,LVN,N,NA,10,0.04495838004974818,238.8812067897865,1000.4863977076546,12.484024258956952,1452.0000058799958,0.6913999915122986,-0.4512940997567414,0.6890402160165985,NA,NA,NA,NA,NA,NA,NA,NA,NA
LVN_N_S030,LVN,N,NA,22.5,0.04765875644549364,146.8579777133527,1000.4863977076546,12.484024258956952,1452.0000058799958,0.6913999915122986,-0.4512940997567414,0.6890402160165985,NA,NA,NA,NA,NA,NA,NA,NA,NA
LVN_N_S075,LVN,N,NA,52.5,0.05217836303287113,89.01120910053724,1000.4863977076546,12.484024258956952,1452.0000058799958,0.6913999915122986,-0.4512940997567414,0.6890402160165985,NA,NA,NA,NA,NA,NA,NA,NA,NA
LVN_N_S120,LVN,N,NA,97.5,0.03474875734104207,58.14263393684407,1000.4863977076546,12.484024258956952,1452.0000058799958,0.6913999915122986,-0.4512940997567414,0.6890402160165985,NA,NA,NA,NA,NA,NA,NA,NA,NA
RKS_A_S005,RKS,A,NA,2.5,0.07677135881778183,220.8774559079966,626.5082659647339,11.849065615967444,1679.999999280002,0.3538999855518341,-1.6815288648954057,0.3729215870435933,NA,NA,NA,NA,NA,NA,NA,NA,NA
RKS_A_S015,RKS,A,NA,10,0.04403648754843039,114.2762054171689,626.5082659647339,11.849065615967444,1679.999999280002,0.3538999855518341,-1.6815288648954057,0.3729215870435933,NA,NA,NA,NA,NA,NA,NA,NA,NA
RKS_A_S030,RKS,A,NA,22.5,0.00680905360609538,138.96459637667525,626.5082659647339,11.849065615967444,1679.999999280002,0.3538999855518341,-1.6815288648954057,0.3729215870435933,NA,NA,NA,NA,NA,NA,NA,NA,NA
RKS_A_S075,RKS,A,NA,52.5,0.00774070808554887,163.39004642367237,626.5082659647339,11.849065615967444,1679.999999280002,0.3538999855518341,-1.6815288648954057,0.3729215870435933,NA,NA,NA,NA,NA,NA,NA,NA,NA
RKS_A_S120,RKS,A,NA,97.5,0.03891563377302524,87.67104780083751,626.5082659647339,11.849065615967444,1679.999999280002,0.3538999855518341,-1.6815288648954057,0.3729215870435933,NA,NA,NA,NA,NA,NA,NA,NA,NA
RKS_N_S005,RKS,N,NA,2.5,0.05315092288931652,497.2742843840582,637.9280562518309,11.882600075876567,1683.9999996400013,0.3601999878883362,-1.6397961073140497,0.3788171356224492,NA,NA,NA,NA,NA,NA,NA,NA,NA
RKS_N_S015,RKS,N,NA,10,0.0687337406868105,261.36626437115297,637.9280562518309,11.882600075876567,1683.9999996400013,0.3601999878883362,-1.6397961073140497,0.3788171356224492,NA,NA,NA,NA,NA,NA,NA,NA,NA
RKS_N_S030,RKS,N,NA,22.5,0.04382639842304005,192.83282505852753,637.9280562518309,11.882600075876567,1683.9999996400013,0.3601999878883362,-1.6397961073140497,0.3788171356224492,NA,NA,NA,NA,NA,NA,NA,NA,NA
RKS_N_S075,RKS,N,NA,52.5,0.04033165434890068,120.57300637507863,637.9280562518309,11.882600075876567,1683.9999996400013,0.3601999878883362,-1.6397961073140497,0.3788171356224492,NA,NA,NA,NA,NA,NA,NA,NA,NA
RKS_N_S120,RKS,N,NA,97.5,0,137.67353851639265,637.9280562518309,11.882600075876567,1683.9999996400013,0.3601999878883362,-1.6397961073140497,0.3788171356224492,NA,NA,NA,NA,NA,NA,NA,NA,NA
HNC_A_S005,HNC,A,NA,2.5,0.04817044601229987,118.44787876496189,740.214838222148,12.697550786378374,1664.999997600003,0.42500001192092896,-1.2493469620239024,0.4445734770505243,NA,NA,NA,NA,NA,NA,NA,NA,NA
HNC_A_S015,HNC,A,NA,10,0.00139138975099413,161.82202237112918,740.214838222148,12.697550786378374,1664.999997600003,0.42500001192092896,-1.2493469620239024,0.4445734770505243,NA,NA,NA,NA,NA,NA,NA,NA,NA
HNC_A_S030,HNC,A,NA,22.5,0.04152457476102088,76.06491489920082,740.214838222148,12.697550786378374,1664.999997600003,0.42500001192092896,-1.2493469620239024,0.4445734770505243,NA,NA,NA,NA,NA,NA,NA,NA,NA
HNC_A_S075,HNC,A,NA,52.5,0.03137583893725619,105.37901662462788,740.214838222148,12.697550786378374,1664.999997600003,0.42500001192092896,-1.2493469620239024,0.4445734770505243,NA,NA,NA,NA,NA,NA,NA,NA,NA
HNC_A_S120,HNC,A,NA,97.5,0.03581543889786223,73.31696697651097,740.214838222148,12.697550786378374,1664.999997600003,0.42500001192092896,-1.2493469620239024,0.4445734770505243,NA,NA,NA,NA,NA,NA,NA,NA,NA
HNC_N_S005,HNC,N,NA,2.5,0.0693249111362776,361.37213037682335,739.78939955255,12.72064430164714,1671.9999817600035,0.4234000146389008,-1.2601026491745984,0.4424577796788147,NA,NA,NA,NA,NA,NA,NA,NA,NA
HNC_N_S015,HNC,N,NA,10,0.06163679718681319,200.46749530402923,739.78939955255,12.72064430164714,1671.9999817600035,0.4234000146389008,-1.2601026491745984,0.4424577796788147,NA,NA,NA,NA,NA,NA,NA,NA,NA
HNC_N_S030,HNC,N,NA,22.5,0.05635004487804878,150.2599214619365,739.78939955255,12.72064430164714,1671.9999817600035,0.4234000146389008,-1.2601026491745984,0.4424577796788147,NA,NA,NA,NA,NA,NA,NA,NA,NA
